locality_name,bhks,per_sq_ft_area,price_per_sq_ft_area,construction_status,price,appt_name,appt_link
bopal,3,1885,5835,Ready to move,10998975,United Serene Elegancy,https://www.makaan.com/ahmedabad/united-spacelink-serene-elegancy-in-bopal-3098111
bopal,3,1750,5142,Ready to move,8998500,Kavisha The Canvas,https://www.makaan.com/ahmedabad/kavisha-atria-llp-the-canvas-in-bopal-3144027
bopal,4,3300,4200,Under Construction,13860000,Iscon Iscon Flower,https://www.makaan.com/ahmedabad/iscon-group-builders-iscon-flower-in-bopal-680126
bopal,2,1233,4622,Ready to move,5698926,Siddhi Aarohi Residency,https://www.makaan.com/ahmedabad/siddhi-developers-aarohi-residency-in-bopal-648771
bopal,3,1436,5222,Ready to move,7498792,Divine Trinity Sky,https://www.makaan.com/ahmedabad/divine-group-ahmedabad-trinity-sky-in-bopal-3366149
bopal,3,1850,4540,Under Construction,8399000,Rajyash Regius,https://www.makaan.com/ahmedabad/rajyash-regius-in-bopal-3125632
bopal,5,6390,7042,Under Construction,44998380,Sun Southrayz,https://www.makaan.com/ahmedabad/sun-constructions-ahmedabad-southrayz-in-bopal-2054308
bopal,3,1440,6250,Ready to move,9000000,Kavisha The Canvas,https://www.makaan.com/ahmedabad/kavisha-atria-llp-the-canvas-in-bopal-3144027
bopal,4,1900,5657,Under Construction,10748300,Kavisha The Canvas,https://www.makaan.com/ahmedabad/kavisha-atria-llp-the-canvas-in-bopal-3144027
bopal,3,2200,3602,Under Construction,7924400,Godrej Green Glades,https://www.makaan.com/ahmedabad/godrej-properties-green-glades-in-bopal-1856604
bopal,3,1960,6122,Ready to move,11999120,Maruti Skylights,https://www.makaan.com/ahmedabad/maruti-buildcon-skylights-in-bopal-1535516
bopal,3,1530,5816,Ready to move,8898480,Ashapura Samanvay Scintilla,https://www.makaan.com/ahmedabad/ashapura-infratech-samanvay-scintilla-in-bopal-3162283
bopal,3,868,8813,Under Construction,7649684,Goyal And Co Orchid Paradise,https://www.makaan.com/ahmedabad/goyal-and-co-and-hn-safal-orchid-paradise-in-bopal-645665
bopal,2,1230,5040,Ready to move,6199200,Ashapura Samanvay Scintilla,https://www.makaan.com/ahmedabad/ashapura-infratech-samanvay-scintilla-in-bopal-3162283
bopal,3,868,8813,Under Construction,7649684,Ramnikbhai Meghjibhai Sheladia Parisar 80,https://www.makaan.com/ahmedabad/ramnikbhai-meghjibhai-sheladia-parisar-80-in-bopal-3254005
bopal,3,1750,4285,Under Construction,7498750,United Serene Sparkles,https://www.makaan.com/ahmedabad/united-buildcon-ahmedabad-serene-sparkles-in-bopal-3234526
bopal,2,1233,4622,Ready to move,5698926,Kavisha Corporation Celebrations,https://www.makaan.com/ahmedabad/kavisha-corporation-celebrations-in-bopal-1283849
bopal,3,1750,3800,Under Construction,6650000,Shaligram Prime,https://www.makaan.com/ahmedabad/shaligram-buildcon-prime-in-bopal-2008198
bopal,3,1450,5034,Ready to move,7299300,Godrej Green Glades,https://www.makaan.com/ahmedabad/godrej-properties-green-glades-in-bopal-1856604
bopal,3,1615,5696,Ready to move,9199040,Godrej Green Glades,https://www.makaan.com/ahmedabad/godrej-properties-green-glades-in-bopal-1856604
bopal,2,1000,5000,Ready to move,5000000,MAHARSH Harsh Evoq,https://www.makaan.com/ahmedabad/maharsh-buildworth-llp-harsh-evoq-in-bopal-2005769
bopal,2,1100,6181,Ready to move,6799100,Ashapura Samanvay Scintilla,https://www.makaan.com/ahmedabad/ashapura-infratech-samanvay-scintilla-in-bopal-3162283
bopal,2,1350,5185,Ready to move,6999750,Sapphire Swapneel Elysium,https://www.makaan.com/ahmedabad/sapphire-constructions-swapneel-elysium-in-bopal-507687
bopal,3,868,8813,Under Construction,7649684,Vivswastik Swastik Vivanta,https://www.makaan.com/ahmedabad/vivswastik-buildcon-swastik-vivanta-in-bopal-3104808
bopal,2,1230,5040,Ready to move,6199200,Shivalik Edge,https://www.makaan.com/ahmedabad/shivalik-projects-edge-in-bopal-3055305
bopal,2,1360,4629,Ready to move,6295440,Flora Ixora,https://www.makaan.com/ahmedabad/flora-ixora-in-bopal-1601848
bopal,4,4500,7777,Ready to move,34996500,Aashray Aurum,https://www.makaan.com/ahmedabad/aashray-constructions-aurum-in-bopal-3174526
bopal,3,2430,5555,Ready to move,13498650,Gala Swing,https://www.makaan.com/ahmedabad/gala-infrastructure-swing-in-bopal-647756
bopal,3,1750,5257,Under Construction,9199750,Kavisha The Canvas,https://www.makaan.com/ahmedabad/kavisha-atria-llp-the-canvas-in-bopal-3144027
bopal,3,1850,8108,Ready to move,14999800,Siddhi Aarohi Crest,https://www.makaan.com/ahmedabad/siddhi-developers-aarohi-crest-in-bopal-645944
bopal,3,2200,4318,Ready to move,9499600,Shivalik Edge,https://www.makaan.com/ahmedabad/shivalik-projects-edge-in-bopal-3055305
bopal,3,2025,5679,Ready to move,11499975,Kavisha The Canvas,https://www.makaan.com/ahmedabad/kavisha-atria-llp-the-canvas-in-bopal-3144027
bopal,4,4287,6700,Under Construction,28722900,Sattva Exotica,https://www.makaan.com/ahmedabad/sattva-infrabuild-exotica-in-bopal-3140492
bopal,4,3300,4200,Under Construction,13860000,Madhav Residency,https://www.makaan.com/ahmedabad/madhav-group-residency-in-bopal-1911966
bopal,3,1015,10461,Under Construction,10617915,Shivalik Edge,https://www.makaan.com/ahmedabad/shivalik-projects-edge-in-bopal-3055305
bopal,2,1150,4956,Ready to move,5699400,Gala Marvella,https://www.makaan.com/ahmedabad/gala-infrastructure-marvella-in-bopal-779189
bopal,4,2300,14695,Ready to move,33798500,Binori Solitaire,https://www.makaan.com/ahmedabad/binori-infrastructure-solitaire-in-bopal-508053
bopal,4,3232,6961,Ready to move,22497952,Shaligram Prime,https://www.makaan.com/ahmedabad/shaligram-buildcon-prime-in-bopal-2008198
bopal,3,2214,6323,Ready to move,13999122,Godrej Green Glades,https://www.makaan.com/ahmedabad/godrej-properties-green-glades-in-bopal-1856604
bopal,3,1615,4643,Under Construction,7498445,Shakti Edifice,https://www.makaan.com/ahmedabad/shakti-creators-edifice-in-bopal-1952379
